date,year,month,day,lag_1,lag_2,lag_3,rolling_mean
2021-12-09,2021,12,9,-0.0187077791938699,0.07656137478538882,-0.021604664507621774,-0.010453380108676668
2021-12-10,2021,12,10,-0.04288481900683028,-0.0187077791938699,0.07656137478538882,-0.003251789181981746
2021-12-13,2021,12,13,-0.009623057986975603,-0.04288481900683028,-0.0187077791938699,-0.012898391962084066
2021-12-14,2021,12,14,-0.06983767840813337,-0.009623057986975603,-0.04288481900683028,-0.02696459684989554
2021-12-15,2021,12,15,0.006230350346331459,-0.06983767840813337,-0.009623057986975603,-0.008780413507218565
2021-12-16,2021,12,16,0.07221313751951497,0.006230350346331459,-0.06983767840813337,-0.01429349804841067
2021-12-17,2021,12,17,-0.0704502417127908,0.07221313751951497,0.006230350346331459,-0.01654073656565904
2021-12-20,2021,12,20,-0.02085925057321747,-0.0704502417127908,0.07221313751951497,-0.0031639846835387784
2021-12-21,2021,12,21,-0.0029539189975320568,-0.02085925057321747,-0.0704502417127908,0.005142071440103901
2021-12-22,2021,12,22,0.04776063096454486,-0.0029539189975320568,-0.02085925057321747,-0.007077368718928412
2021-12-23,2021,12,23,0.011115936724353404,0.04776063096454486,-0.0029539189975320568,0.008638703316880391
2021-12-27,2021,12,27,0.008130118466253222,0.011115936724353404,0.04776063096454486,0.021427882530267794
2021-12-28,2021,12,28,0.043086645493719544,0.008130118466253222,0.011115936724353404,0.01795108891704773
2021-12-29,2021,12,29,-0.020337887063632376,0.043086645493719544,0.008130118466253222,0.006270394296977422
2021-12-30,2021,12,30,-0.010642842135806685,-0.020337887063632376,0.043086645493719544,0.0012613260114264335
2021-12-31,2021,12,31,-0.013929404703401538,-0.010642842135806685,-0.020337887063632376,-0.001551209934625053
2022-01-03,2022,1,3,-0.00593256126400421,-0.013929404703401538,-0.010642842135806685,-0.005397762558518693
2022-01-04,2022,1,4,0.023853882374251345,-0.00593256126400421,-0.013929404703401538,-0.006925469233767778
2022-01-05,2022,1,5,-0.027976420439877803,0.023853882374251345,-0.00593256126400421,-0.01665400061100124
2022-01-06,2022,1,6,-0.059285499021974,-0.027976420439877803,0.023853882374251345,-0.009751955533098666
2022-01-07,2022,1,7,0.020580820686111334,-0.059285499021974,-0.027976420439877803,-0.015285063275460508
2022-01-10,2022,1,10,-0.03359809997581342,0.020580820686111334,-0.059285499021974,-0.018935922613016486
2022-01-11,2022,1,11,0.005599585686471453,-0.03359809997581342,0.020580820686111334,-0.010319773560320478
2022-01-12,2022,1,12,0.015104324823602244,0.005599585686471453,-0.03359809997581342,0.0028416243591721014
2022-01-13,2022,1,13,0.0065214905754888974,0.015104324823602244,0.005599585686471453,-0.011714112164837243
2022-01-14,2022,1,14,-0.052197861933935386,0.0065214905754888974,0.015104324823602244,-0.002251405492826386
2022-01-18,2022,1,18,0.01371543338424086,-0.052197861933935386,0.0065214905754888974,-0.01123684241416667
2022-01-19,2022,1,19,-0.03932759892022997,0.01371543338424086,-0.052197861933935386,-0.02081902134928253
2022-01-20,2022,1,20,-0.03280656985197705,-0.03932759892022997,0.01371543338424086,-0.029576890113625874
2022-01-21,2022,1,21,-0.03726785324622783,-0.03280656985197705,-0.03932759892022997,-0.025669327184958048
2022-01-24,2022,1,24,-0.03266004729059624,-0.03726785324622783,-0.03280656985197705,-0.028429534545540758
2022-01-25,2022,1,25,-8.560341867269727e-05,-0.03266004729059624,-0.03726785324622783,-0.02973929622636744
2022-01-26,2022,1,26,-0.04587640732436338,-8.560341867269727e-05,-0.03266004729059624,-0.019204106920596688
2022-01-27,2022,1,27,0.019869376676876715,-0.04587640732436338,-8.560341867269727e-05,-0.019158119908362182
2022-01-28,2022,1,28,-0.03703791818505531,0.019869376676876715,-0.04587640732436338,-0.004622185108719456
2022-01-31,2022,1,31,0.040019626707617384,-0.03703791818505531,0.019869376676876715,0.009312562910182898
