date,close,year,month,day,close_log,close_log_diff,lag_1,lag_2,lag_3,rolling_mean
2019-10-22,4.890250205993652,2019,10,22,1.5872434690476687,-0.0020427466124095517,0.02856598123780474,-0.01975224369905626,0.00041190875414232053,-0.0007755334618189114
2019-10-23,4.8772501945495605,2019,10,23,1.5845815763244249,-0.0026618927232437972,-0.0020427466124095517,0.02856598123780474,-0.01975224369905626,0.00090420139144749
2019-10-24,4.921500205993652,2019,10,24,1.5936134039429957,0.009031827618570798,-0.0026618927232437972,-0.0020427466124095517,0.02856598123780474,0.0026281851643331854
2019-10-25,5.113500118255615,2019,10,25,1.6318841243900895,0.03827072044709379,0.009031827618570798,-0.0026618927232437972,-0.0020427466124095517,0.014232777993563196
2019-10-28,5.169750213623047,2019,10,28,1.6428243727734695,0.010940248383380036,0.03827072044709379,0.009031827618570798,-0.0026618927232437972,0.010707631422678254
2019-10-29,5.072999954223633,2019,10,29,1.623932349561023,-0.01889202321244654,0.010940248383380036,0.03827072044709379,0.009031827618570798,0.007337776102670857
2019-10-30,5.074999809265137,2019,10,30,1.624326487344626,0.0003941377836029769,-0.01889202321244654,0.010940248383380036,0.03827072044709379,0.007948982204040212
2019-10-31,5.0254998207092285,2019,10,31,1.6145249158064512,-0.009801571538174736,0.0003941377836029769,-0.01889202321244654,0.010940248383380036,0.004182302372691104
2019-11-01,5.0647501945495605,2019,11,1,1.6223048165533938,0.00777990074694257,-0.009801571538174736,0.0003941377836029769,-0.01889202321244654,-0.0019158615673391388
2019-11-04,5.262499809265137,2019,11,4,1.6606061627643447,0.03830134621095094,0.00777990074694257,-0.009801571538174736,0.0003941377836029769,0.0035563579981750413
2019-11-05,5.240250110626221,2019,11,5,1.6563692282293994,-0.004236934534945336,0.03830134621095094,0.00777990074694257,-0.009801571538174736,0.006487375733675282
2019-11-06,5.1907501220703125,2019,11,6,1.646878218924838,-0.00949100930456126,-0.004236934534945336,0.03830134621095094,0.00777990074694257,0.004510346316042435
2019-11-07,5.208499908447266,2019,11,7,1.6502918888648037,0.0034136699399656134,-0.00949100930456126,-0.004236934534945336,0.03830134621095094,0.007153394611670505
2019-11-08,5.194499969482422,2019,11,8,1.6476003676534703,-0.0026915212113334253,0.0034136699399656134,-0.00949100930456126,-0.004236934534945336,0.005059110220015306
2019-11-11,5.204500198364258,2019,11,11,1.6495236740873747,0.0019233064339043704,-0.0026915212113334253,0.0034136699399656134,-0.00949100930456126,-0.0022164977353940074
2019-11-12,5.240250110626221,2019,11,12,1.6563692282293994,0.006845554142024701,0.0019233064339043704,-0.0026915212113334253,0.0034136699399656134,0.0
2019-11-13,5.214250087738037,2019,11,13,1.6513952790211954,-0.004973949208203932,0.006845554142024701,0.0019233064339043704,-0.0026915212113334253,0.0009034120192714656
2019-11-14,5.244750022888184,2019,11,14,1.657227580633967,0.005832301612771484,-0.004973949208203932,0.006845554142024701,0.0019233064339043704,0.0013871383538326398
2019-11-15,5.104750156402588,2019,11,15,1.6301715094596447,-0.027056071174322183,0.005832301612771484,-0.004973949208203932,0.006845554142024701,-0.0034857716387651115
2019-11-18,5.307000160217285,2019,11,18,1.6690267340355607,0.03885522457591595,-0.027056071174322183,0.005832301612771484,-0.004973949208203932,0.003900611989637204
2019-11-19,5.199749946594238,2019,11,19,1.6486105372377398,-0.020416196797820918,0.03885522457591595,-0.027056071174322183,0.005832301612771484,-0.00155173819833192
2019-11-20,5.2795000076293945,2019,11,20,1.66383139770953,0.015220860471790276,-0.020416196797820918,0.03885522457591595,-0.027056071174322183,0.0024872237376669217
2019-11-21,5.254499912261963,2019,11,21,1.6590848356258192,-0.004746562083710826,0.015220860471790276,-0.020416196797820918,0.03885522457591595,0.0003714509983704595
2019-11-22,5.272250175476074,2019,11,22,1.662457249692694,0.0033724140668747182,-0.004746562083710826,0.015220860471790276,-0.020416196797820918,0.0064571480466098395
2019-11-25,5.530250072479248,2019,11,25,1.710233035574957,0.047775785882263166,0.0033724140668747182,-0.004746562083710826,0.015220860471790276,0.008241260307879283
2019-11-26,5.425000190734863,2019,11,26,1.6910179345850227,-0.019215100989934397,0.047775785882263166,0.0033724140668747182,-0.004746562083710826,0.008481479469456588
2019-11-27,5.455999851226807,2019,11,27,1.6967158932733466,0.005697958688323901,-0.019215100989934397,0.047775785882263166,0.0033724140668747182,0.006576899112763312
2019-11-29,5.418499946594238,2019,11,29,1.6898190145247234,-0.006896878748623214,0.005697958688323901,-0.019215100989934397,0.047775785882263166,0.006146835779780835
2019-12-02,5.231249809265137,2019,12,2,1.654650218794981,-0.03516879572974241,-0.006896878748623214,0.005697958688323901,-0.019215100989934397,-0.0015614061795425904
2019-12-03,5.191500186920166,2019,12,3,1.647022708766411,-0.007627510028569873,-0.03516879572974241,-0.006896878748623214,0.005697958688323901,-0.012642065361709198
2019-12-04,5.235499858856201,2019,12,4,1.6554623237863881,0.008439615019977031,-0.007627510028569873,-0.03516879572974241,-0.006896878748623214,-0.007111122159726912
